-0.0674111	2.43267	-0.0217141	0.783599	-0.0674111	2.43267	-0.0079	2.9498	-0.0628	0.998
-0.200183	3.31322	-0.330114	2.19309	-0.2002	3.3133	-0.0611	3.346	-0.1874	0.9823
-0.19579	3.7129	-0.0209032	1.43437	-0.192126	3.47049	-0.1635	3.7324	-0.309	0.9511
-0.135297	4.25859	0.17332	1.36126	-0.1274	4.2533	-0.3136	4.1029	-0.4258	0.9048
-0.417608	4.62546	-0.759093	0.515393	-0.447702	4.73337	-0.5089	4.4517	-0.5358	0.8443
-0.776454	4.77763	-0.909375	0.361964	-0.7822	4.7674	-0.7464	4.7732	-0.6374	0.7705
-0.877025	5.24597	-0.0746647	0.672718	-0.888856	5.62936	-1.0223	5.0624	-0.729	0.6845
-1.33288	5.48652	-1.21698	0.61661	-1.3777	5.4909	-1.3323	5.3148	-0.809	0.5878
-1.86116	5.52032	-1.44744	0.421683	-1.77926	5.25612	-1.6715	5.5264	-0.8763	0.4818
-1.99634	5.54162	-0.297272	-0.0405459	-1.9474	5.5009	-2.0345	5.6937	-0.9298	0.3681
-2.42869	5.77551	-0.855149	-0.105347	-2.6804	6.24889	-2.4157	5.8143	-0.9686	0.2487
-2.96255	5.68107	-1.33841	-0.22885	-2.9804	5.6785	-2.8089	5.8861	-0.9921	0.1253
-3.1506	5.84286	-0.201895	0.124907	-3.17814	6.04835	-3.208	5.908	-1	0
-3.40503	5.72207	-0.607204	-0.296195	-3.4165	5.7045	-3.6068	5.8798	-0.9921	-0.1253
-3.91464	5.50051	-1.54411	-0.233387	-3.8424	5.31667	-3.9988	5.8018	-0.9686	-0.2487
-4.28313	5.65865	-0.968479	0.388637	-4.2674	5.6848	-4.378	5.6753	-0.9298	-0.3681
-4.68861	5.40613	-1.01714	-0.706866	-4.64216	5.28425	-4.7384	5.5023	-0.8763	-0.4817
-5.16829	5.31578	-1.25519	-0.186809	-5.1882	5.3473	-5.0742	5.2854	-0.809	-0.5878
-5.19037	5.48831	0.112195	0.408446	-5.09174	5.53286	-5.3802	5.0282	-0.729	-0.6845
-5.79583	5.14298	-1.42493	-0.673857	-5.8555	5.1199	-5.6515	4.7347	-0.6374	-0.7705
-6.23509	4.46632	-1.2549	-1.63081	-6.05221	4.28422	-5.884	4.4095	-0.5358	-0.8443
-6.17141	4.18109	0.13476	-0.902733	-6.108	4.188	-6.0738	4.0577	-0.4258	-0.9048
-6.25254	3.60876	-0.343069	-1.40053	-6.21411	3.5299	-6.218	3.6848	-0.309	-0.9511
-6.16186	3.27467	0.221731	-0.899636	-6.1369	3.2867	-6.3144	3.2969	-0.1874	-0.9823
-6.26572	3.03974	-0.166065	-0.625803	-6.40798	3.11434	-6.3614	2.8999	-0.0628	-0.998
-6.45809	2.4425	-0.454881	-1.45287	-6.4653	2.4138	-6.3582	2.5002	0.0628	-0.998
